arm,seed,image,niqe,musiq,maniqa,clipiqa,consistency,unique_token_ratio
w4v2_stable,123,0801,-5.853868045727167,55.88744354248047,0.31103989481925964,0.5973079204559326,0.7517691850662231,0.5652173913043478
w4v2_stable,123,0802,-7.018415732058635,41.34978103637695,0.49900391697883606,0.7096214294433594,0.839678168296814,0.5303030303030303
w4v2_stable,123,0803,-6.0017284727447935,59.571720123291016,0.5809106230735779,0.779683530330658,0.8419786691665649,0.4375
w4v2_stable,123,0804,-7.467284572087008,51.8427848815918,0.39175519347190857,0.5195519328117371,0.7327544689178467,0.5522388059701493
w4v2_stable,123,0805,-13.491794719456097,59.62274932861328,0.5139924883842468,0.630490779876709,0.7863287329673767,0.410958904109589
w4v2_stable,123,0806,-5.658835792313587,51.01822280883789,0.40091919898986816,0.5838922262191772,0.7484461069107056,0.6285714285714286
w4v2_stable,123,0807,-5.854916857987782,61.470741271972656,0.4232496917247772,0.7839019298553467,0.7698126435279846,0.5909090909090909
w4v2_stable,123,0808,-6.365769688227121,61.30037307739258,0.4308052062988281,0.7766760587692261,0.7294167876243591,0.647887323943662
w4v2_stable,123,0809,-8.512688325647861,50.34290313720703,0.3966691195964813,0.4170594811439514,0.7843561172485352,0.6029411764705882
w4v2_stable,123,0810,-7.876959772945037,57.819122314453125,0.3640342354774475,0.530197262763977,0.8082653284072876,0.4025974025974026
w4v2_stable,123,0811,-9.138079284115532,38.14208221435547,0.4413687586784363,0.49053898453712463,0.8429991006851196,0.6
w4v2_stable,123,0812,-6.758893615977479,48.18174362182617,0.35525283217430115,0.4979057312011719,0.7343243360519409,0.7101449275362319
w4v2_stable,123,0813,-5.441683026432787,34.94427490234375,0.4040065109729767,0.3623601794242859,0.6574539542198181,0.7384615384615385
w4v2_stable,123,0814,-7.54782485610509,59.994140625,0.4370078146457672,0.4260960519313812,0.8521583676338196,0.4696969696969697
w4v2_stable,123,0815,-5.495702548207037,58.95193862915039,0.5449923276901245,0.7688778042793274,0.8147156238555908,0.6349206349206349
w4v2_stable,123,0816,-6.514980695744738,65.193359375,0.3725533187389374,0.8258022665977478,0.8066204786300659,0.5873015873015873
w4v2_stable,123,0817,-6.938882244040343,45.997745513916016,0.36711758375167847,0.623053789138794,0.8329430818557739,0.647887323943662
w4v2_stable,123,0818,-5.085203143114991,57.5163459777832,0.37510165572166443,0.7789903879165649,0.7593969702720642,0.6103896103896104
w4v2_stable,123,0819,-17.00996723810703,49.8931999206543,0.39010757207870483,0.48583102226257324,0.7108436822891235,0.6857142857142857
w4v2_stable,123,0820,-4.237433169139554,55.962398529052734,0.3328166604042053,0.7036565542221069,0.7404563426971436,0.6875
w4v2_stable,123,0821,-12.772598726590608,22.085010528564453,0.281516969203949,0.404575914144516,0.8512711524963379,0.7391304347826086
w4v2_stable,123,0822,-6.899137849179779,63.214805603027344,0.4692130386829376,0.7456557154655457,0.8119955658912659,0.5076923076923077
