arm,seed,image,niqe,musiq,maniqa,clipiqa,consistency,unique_token_ratio,vlm_grounding_all,vlm_grounding_deep,vlm_quality
control_s456,0,0801,-8.352767005400086,48.3217658996582,0.28086668252944946,0.5814138054847717,0.7606792449951172,0.6388888888888888,7.0,9.0,8.0
control_s456,0,0802,-6.8532214165614285,31.288013458251953,0.4646710455417633,0.6661868691444397,0.839766263961792,0.4507042253521127,8.5,8.0,8.0
control_s456,0,0803,-5.827898061318524,62.72661590576172,0.5941818356513977,0.78704434633255,0.8496187925338745,0.5180722891566265,9.5,10.0,8.0
control_s456,0,0804,-8.581051408920967,54.205101013183594,0.3473779261112213,0.48181018233299255,0.7336956262588501,0.5641025641025641,6.5,4.5,7.0
control_s456,0,0805,-14.783881501989267,58.091312408447266,0.497660756111145,0.6244674921035767,0.7912859320640564,0.4375,8.75,8.5,7.0
control_s456,0,0806,-5.107140779688789,53.71580505371094,0.35864171385765076,0.6652206778526306,0.7610020637512207,0.6923076923076923,8.5,8.5,7.0
control_s456,0,0807,-6.78504875914347,51.09467697143555,0.40487930178642273,0.7661791443824768,0.7548457384109497,0.6625,7.75,7.5,5.0
control_s456,0,0808,-6.962591088906193,54.76508712768555,0.35496580600738525,0.6501986384391785,0.7325566411018372,0.7241379310344828,8.75,8.5,8.0
control_s456,0,0809,-9.205366937720873,49.11273193359375,0.388519823551178,0.4824851155281067,0.7956516742706299,0.38271604938271603,9.25,9.0,8.0
control_s456,0,0810,-6.135202215029998,55.80021286010742,0.343766450881958,0.6519584655761719,0.7979357838630676,0.5061728395061729,7.0,4.5,7.0
control_s456,0,0811,-6.822409352373428,45.21741485595703,0.4229016900062561,0.5968847274780273,0.8327417373657227,0.7123287671232876,8.75,8.5,2.0
control_s456,0,0812,-6.6811190152478,50.06787872314453,0.326302170753479,0.4745432436466217,0.6944968104362488,0.6197183098591549,8.0,8.0,2.0
control_s456,0,0813,-10.510703450019188,28.056711196899414,0.4095943868160248,0.44646674394607544,0.7476982474327087,0.5757575757575758,4.5,4.5,7.0
control_s456,0,0814,-6.584185553237452,57.53004837036133,0.4099803864955902,0.3414020240306854,0.8497346639633179,0.49382716049382713,8.5,8.0,7.0
control_s456,0,0815,-6.248144214374808,60.98430252075195,0.49765145778656006,0.7657785415649414,0.8074682950973511,0.5352112676056338,7.0,8.5,5.0
control_s456,0,0816,-5.646719276040743,64.95226287841797,0.3425105810165405,0.8351530432701111,0.7927145957946777,0.5945945945945946,7.0,5.0,5.0
control_s456,0,0817,-5.020276611255893,55.14021682739258,0.3907017707824707,0.6598867774009705,0.835192084312439,0.547945205479452,3.0,5.0,3.0
control_s456,0,0818,-8.39435847691127,54.91360855102539,0.44445571303367615,0.6595261693000793,0.7730405330657959,0.6043956043956044,6.5,5.0,3.0
control_s456,0,0819,-11.959273980177992,50.31472396850586,0.36475908756256104,0.2512923777103424,0.6748101711273193,0.5977011494252874,7.0,4.5,2.0
