axis,a3_full_mean,w4v2_3seed_mean,w4v2_seed_std,delta_vs_a3,direction,seeds_improving,robust_win,n,seeds,seed123_mean,seed456_mean,seed789_mean,seed123_delta,seed456_delta,seed789_delta
niqe,-8.455678873802343,-8.481702932202227,0.12790245702133887,-0.026024058399883643,regressed,2/3,no,100,3,-8.628615200537523,-8.421347468686458,-8.3951461273827,-0.17293632673517934,0.034331405115885616,0.06053274641964279
musiq,50.10709594726563,50.50205637613933,0.1628824683436064,0.3949604288737021,improved,3/3,yes,100,3,50.64405469894409,50.32424871444702,50.537865715026854,0.536958751678462,0.2171527671813962,0.4307697677612268
maniqa,0.4084885491430759,0.4092634540299575,0.002973415960980531,0.0007749048868815889,improved,2/3,no,100,3,0.4106989750266075,0.411246741861105,0.4058446452021599,0.002210425883531597,0.0027581927180290733,-0.0026439039409160148
clipiqa,0.6120658829808235,0.6151073122024536,0.004256814988187806,0.0030414292216300876,improved,2/3,no,100,3,0.6199255964159965,0.6118564000725746,0.6135399401187897,0.007859713435173,-0.0002094829082489591,0.0014740571379661116
consistency,0.7922167932987213,0.791025687456131,9.917611928646651e-05,-0.001191105842590301,regressed,0/3,no,100,3,0.7909666693210602,0.7909702050685883,0.7911401879787445,-0.0012501239776611106,-0.0012465882301330167,-0.0010766053199767756
unique_token_ratio,0.6182256002933569,0.6494936578861826,0.034566506048960007,0.03126805759282569,improved,3/3,no,100,3,0.6894021353173443,0.6289663465071148,0.6301124918340889,0.07117653502398735,0.010740746213757868,0.01188689154073197
