axis,higher_is_better,n,a3_full_mean,balanced_w4v2_seed123_mean,balanced_w4v2_seed123_delta_vs_a3,tuned_tune_rrep_seed123_mean,tuned_tune_rrep_seed123_delta_vs_a3,tuned_minus_balanced_seed123,balanced_w4v2_3seed_mean,balanced_w4v2_3seed_std,balanced_w4v2_3seed_delta_vs_a3,balanced_w4v2_3seed_seeds_improving,reading
niqe,yes,100,-8.4556788738,-8.62861520054,-0.172936326735,-8.41418920704,0.0414896667608,0.214425993496,-8.4817029322,0.127902457021,-0.0260240583999,2/3,tuned improves over A3 and is better than balanced seed123/3-seed mean on inverted NIQE
musiq,yes,100,50.1070959473,50.6440546989,0.536958751678,49.8132450294,-0.293850917816,-0.830809669495,50.5020563761,0.162882468344,0.394960428874,3/3,tuned regresses vs A3 and trails balanced seed123/3-seed mean; balanced keeps the robust MUSIQ win
maniqa,yes,100,0.408488549143,0.410698975027,0.00221042588353,0.405284025222,-0.00320452392101,-0.00541494980454,0.40926345403,0.00297341596098,0.000774904886882,2/3,tuned regresses vs A3 and trails balanced seed123/3-seed mean
clipiqa,yes,100,0.612065882981,0.619925596416,0.00785971343517,0.613968436718,0.00190255373716,-0.00595715969801,0.615107312202,0.00425681498819,0.00304142922163,2/3,tuned slightly improves vs A3 but trails balanced seed123/3-seed mean
consistency,yes,100,0.792216793299,0.790966669321,-0.00125012397766,0.795188480616,0.00297168731689,0.00422181129456,0.791025687456,9.91761192865e-05,-0.00119110584259,0/3,tuned improves vs A3 and beats balanced seed123/3-seed mean; balanced regresses here
unique_token_ratio,yes,100,0.618225600293,0.689402135317,0.071176535024,0.63421311107,0.0159875107771,-0.0551890242469,0.649493657886,0.034566506049,0.0312680575928,3/3,tuned improves vs A3 but is smaller than balanced seed123 and the balanced 3-seed mean; not a larger or robust anti-convergence win
