arm,seed,image,niqe,musiq,maniqa,clipiqa,consistency,unique_token_ratio
A1_full,0,0801,-4.412985658127353,52.04655456542969,0.2483920454978943,0.6569346785545349,0.7726191878318787,0.0
A1_full,0,0802,-8.081019139477963,50.81950759887695,0.4939272701740265,0.6734740138053894,0.8145186901092529,0.0
A1_full,0,0803,-8.624202224288613,45.70260238647461,0.5444477796554565,0.7860763669013977,0.834770679473877,0.0
A1_full,0,0804,-8.0206308062813,48.188453674316406,0.4413033723831177,0.5842910408973694,0.7091569900512695,0.0
A1_full,0,0805,-13.382759118953324,56.76396179199219,0.4692090153694153,0.5585164427757263,0.7903352975845337,0.0
A1_full,0,0806,-9.80127868581841,47.91110610961914,0.3667651116847992,0.42321547865867615,0.7436151504516602,0.0
A1_full,0,0807,-6.886980840539791,64.91438293457031,0.4387943148612976,0.729150116443634,0.7762181162834167,0.0
A1_full,0,0808,-5.583720644565283,61.878116607666016,0.3977902829647064,0.7142956852912903,0.7360249161720276,0.0
A1_full,0,0809,-9.04556630000394,46.57576370239258,0.3713306486606598,0.30680832266807556,0.804268479347229,0.0
A1_full,0,0810,-4.910955612231838,56.484928131103516,0.37955334782600403,0.47913169860839844,0.7700399160385132,0.0
A1_full,0,0811,-9.130976388604457,40.84131622314453,0.4540206789970398,0.6396251916885376,0.8614164590835571,0.0
A1_full,0,0812,-6.073545750447924,44.38709259033203,0.35727882385253906,0.6247568130493164,0.7586885094642639,0.0
A1_full,0,0813,-7.152726806016611,42.06459426879883,0.3985184133052826,0.5720316767692566,0.7313904762268066,0.0
A1_full,0,0814,-7.551863554200628,52.26482391357422,0.3795410394668579,0.2622762620449066,0.8150045275688171,0.0
A1_full,0,0815,-6.095131760025511,63.367122650146484,0.4378524422645569,0.8247315287590027,0.7842453718185425,0.0
A1_full,0,0816,-4.86329171393675,62.079933166503906,0.35118699073791504,0.6520406007766724,0.787566065788269,0.0
A1_full,0,0817,-7.029491646673396,51.315330505371094,0.3785126507282257,0.7199641466140747,0.8328467011451721,0.0
A1_full,0,0818,-6.017078437000891,58.1289176940918,0.364808052778244,0.7208855748176575,0.761115312576294,0.0
A1_full,0,0819,-6.43306494683802,51.89472579956055,0.40273913741111755,0.7208544015884399,0.7085462808609009,0.0
A1_full,0,0820,-6.645294071563567,53.946868896484375,0.3349388837814331,0.6183010935783386,0.7507972121238708,0.0
A1_full,0,0821,-16.726109903864995,22.608688354492188,0.3277474641799927,0.48033449053764343,0.8366214036941528,0.0
A1_full,0,0822,-6.512088580040383,64.65238952636719,0.39099931716918945,0.7421510815620422,0.806393027305603,0.0
A1_full,0,0823,-17.38396734060938,25.936946868896484,0.44878944754600525,0.5045307278633118,0.7647854089736938,0.0
A1_full,0,0824,-8.431041883524108,47.9910774230957,0.4582371115684509,0.5847154855728149,0.8352475762367249,0.0
A1_full,0,0825,-5.60232264294491,53.64864730834961,0.27445465326309204,0.663195013999939,0.7157516479492188,0.0
A1_full,0,0826,-7.710350752942658,57.0931282043457,0.37625181674957275,0.7274661660194397,0.7616862058639526,0.0
A1_full,0,0827,-9.434849658988574,36.75323486328125,0.3384532034397125,0.46820613741874695,0.8041543960571289,0.0
A1_full,0,0828,-6.756513117485175,62.65054702758789,0.3906789720058441,0.32548239827156067,0.8527899980545044,0.0
A1_full,0,0829,-5.296010110997212,55.86228561401367,0.3520262539386749,0.4744269847869873,0.8016769886016846,0.0
A1_full,0,0830,-9.022974382617921,42.23429870605469,0.37769123911857605,0.513172447681427,0.7144683599472046,0.0
A1_full,0,0831,-8.265462041521332,62.92596435546875,0.4418546259403229,0.7790138125419617,0.7617994546890259,0.0
A1_full,0,0832,-5.659855307652328,56.70551681518555,0.3145134449005127,0.7204577326774597,0.7136414051055908,0.0
A1_full,0,0833,-24.168674897394773,22.582937240600586,0.4314222037792206,0.517490565776825,0.7583031058311462,0.0
A1_full,0,0834,-7.358426296016892,50.31032943725586,0.453788697719574,0.39260396361351013,0.7070633769035339,0.0
A1_full,0,0835,-7.857664001752315,60.92167663574219,0.4526788890361786,0.5816360712051392,0.8219667077064514,0.0
A1_full,0,0836,-9.897940926859317,51.32341384887695,0.4458402991294861,0.5844352841377258,0.7983359098434448,0.0
A1_full,0,0837,-5.776565316798997,57.66093826293945,0.3049047291278839,0.8302749991416931,0.7910875082015991,0.0
A1_full,0,0838,-10.560946349916042,57.9601936340332,0.4335114359855652,0.713516354560852,0.7530422806739807,0.0
A1_full,0,0839,-5.827482960749438,48.6099967956543,0.37742069363594055,0.7101055383682251,0.8450871706008911,0.0
A1_full,0,0840,-6.286968923789029,56.35727310180664,0.39349353313446045,0.6597621440887451,0.8679059743881226,0.0
A1_full,0,0841,-7.867800642032336,56.75557327270508,0.47228512167930603,0.7610759735107422,0.7818974256515503,0.0
A1_full,0,0842,-10.1826260745261,57.996788024902344,0.44892677664756775,0.6778208017349243,0.7314444184303284,0.0
A1_full,0,0843,-8.225062153316392,47.547760009765625,0.3530801832675934,0.5190851092338562,0.8595518469810486,0.0
A1_full,0,0844,-17.909365467856198,26.38755226135254,0.4744989573955536,0.6448363065719604,0.806572675704956,0.0
A1_full,0,0845,-17.81734384871021,22.426469802856445,0.4301988184452057,0.4812682569026947,0.8220080137252808,0.0
A1_full,0,0846,-16.542089011600304,36.74909591674805,0.4898378849029541,0.6069642901420593,0.8339905738830566,0.0
A1_full,0,0847,-12.03536139700682,19.173185348510742,0.3350169360637665,0.49335190653800964,0.7586232423782349,0.0
A1_full,0,0848,-8.691168972113047,41.73248291015625,0.3947046399116516,0.4313715398311615,0.7916933298110962,0.0
A1_full,0,0849,-16.569612228491817,33.276405334472656,0.29326778650283813,0.3342590928077698,0.8666226267814636,0.0
A1_full,0,0850,-18.720883053928016,27.607990264892578,0.476554274559021,0.4604727327823639,0.6913894414901733,0.0
A1_full,0,0851,-7.983436418430772,47.15861129760742,0.44090762734413147,0.6263206601142883,0.8120568990707397,0.0
A1_full,0,0852,-6.75242860256438,53.27738952636719,0.33814123272895813,0.4447661340236664,0.7983596324920654,0.0
A1_full,0,0853,-11.663287954852787,35.27864456176758,0.38920843601226807,0.46287694573402405,0.8020943403244019,0.0
A1_full,0,0854,-5.99259730486802,53.48821258544922,0.3302974998950958,0.6724973320960999,0.7700823545455933,0.0
A1_full,0,0855,-11.39193367628553,58.560882568359375,0.46952325105667114,0.6644210815429688,0.788877010345459,0.0
A1_full,0,0856,-4.348573598828643,65.08161163330078,0.379351943731308,0.6517102122306824,0.857151210308075,0.0
A1_full,0,0857,-15.916028957118062,26.61775016784668,0.4427701234817505,0.5354958176612854,0.8204753398895264,0.0
A1_full,0,0858,-6.964244931772678,53.74760055541992,0.4552232325077057,0.7245579957962036,0.8365167379379272,0.0
A1_full,0,0859,-6.477978046892959,51.93954849243164,0.4208703339099884,0.6881944537162781,0.7828671932220459,0.0
A1_full,0,0860,-8.158025648046246,48.40769577026367,0.41710373759269714,0.7087833285331726,0.7584109306335449,0.0
A1_full,0,0861,-5.2362004502174635,56.51510238647461,0.27323082089424133,0.5361934900283813,0.8079385161399841,0.0
A1_full,0,0862,-7.827605397966616,62.60903549194336,0.39757105708122253,0.7706190347671509,0.7800066471099854,0.0
A1_full,0,0863,-8.207114209737053,60.957862854003906,0.4297653138637543,0.7100429534912109,0.757020115852356,0.0
A1_full,0,0864,-5.232289561003519,55.00130081176758,0.3934856355190277,0.6475377082824707,0.8112810254096985,0.0
A1_full,0,0865,-5.056953662678788,60.9329948425293,0.36087870597839355,0.6525058150291443,0.7278839945793152,0.0
A1_full,0,0866,-17.10438665815668,24.807138442993164,0.43330273032188416,0.6661555171012878,0.7650503516197205,0.0
A1_full,0,0867,-5.489304586782052,36.9498405456543,0.24211198091506958,0.417391300201416,0.8594176769256592,0.0
A1_full,0,0868,-6.22786606849527,57.254798889160156,0.3661002814769745,0.5957189798355103,0.7730925679206848,0.0
A1_full,0,0869,-7.2550082646337,60.264007568359375,0.2980896234512329,0.709278404712677,0.8159275054931641,0.0
A1_full,0,0870,-4.701395881502582,61.4045524597168,0.3627776503562927,0.5990294814109802,0.7976759672164917,0.0
A1_full,0,0871,-8.251691059486793,46.61153793334961,0.41849851608276367,0.6636061668395996,0.828805685043335,0.0
A1_full,0,0872,-5.767074472244582,62.52671813964844,0.3072306513786316,0.7622931599617004,0.7759344577789307,0.0
A1_full,0,0873,-15.188637865835307,23.01043128967285,0.45280367136001587,0.5274842381477356,0.7413362264633179,0.0
A1_full,0,0874,-24.074861937504682,22.546131134033203,0.43116697669029236,0.513026773929596,0.7485189437866211,0.0
A1_full,0,0875,-11.392324383083267,61.72608184814453,0.4462551474571228,0.6871482729911804,0.8200082778930664,0.0
A1_full,0,0876,-4.90111123288907,62.645172119140625,0.3496316075325012,0.669792115688324,0.7696857452392578,0.0
A1_full,0,0877,-13.326508625731016,47.67006301879883,0.3715040981769562,0.43137025833129883,0.885881245136261,0.0
A1_full,0,0878,-7.395153696627524,41.025569915771484,0.3375089764595032,0.38083624839782715,0.8044838309288025,0.0
A1_full,0,0879,-4.629227542492013,63.07210159301758,0.39410561323165894,0.6595898270606995,0.7149208784103394,0.0
A1_full,0,0880,-4.795697271828208,65.34402465820312,0.35991770029067993,0.7917155027389526,0.7848150730133057,0.0
A1_full,0,0881,-6.792811728228896,49.73506164550781,0.3414332866668701,0.7432369589805603,0.8225326538085938,0.0
A1_full,0,0882,-15.649249457915198,26.11788558959961,0.4462781548500061,0.5338073372840881,0.7689151167869568,0.0
A1_full,0,0883,-5.090594554990073,57.332794189453125,0.3917403519153595,0.6809428334236145,0.7463554739952087,0.0
A1_full,0,0884,-6.823699220277272,57.88837432861328,0.46847328543663025,0.6353678107261658,0.7412236928939819,0.0
A1_full,0,0885,-7.379025074896497,61.16447448730469,0.41753914952278137,0.557245135307312,0.8472727537155151,0.0
A1_full,0,0886,-6.796889752459542,62.31609344482422,0.444460391998291,0.7483282089233398,0.7856723070144653,0.0
A1_full,0,0887,-8.582116652182588,53.68253707885742,0.46949759125709534,0.7432073950767517,0.7618535161018372,0.0
A1_full,0,0888,-15.38602189961103,42.63124465942383,0.38711410760879517,0.67755526304245,0.7783291339874268,0.0
A1_full,0,0889,-8.641854531298288,59.712528228759766,0.45222872495651245,0.5578039288520813,0.7773091197013855,0.0
A1_full,0,0890,-4.487940269190455,55.61163330078125,0.2998966574668884,0.598815381526947,0.7586385011672974,0.0
A1_full,0,0891,-14.675205146037538,23.88636589050293,0.4084288775920868,0.5095551609992981,0.6733465194702148,0.0
A1_full,0,0892,-17.55784010019829,24.38006591796875,0.4545576870441437,0.4179644286632538,0.8412439823150635,0.0
A1_full,0,0893,-18.836278550362223,20.8454532623291,0.4035124182701111,0.4301738739013672,0.7950960397720337,0.0
A1_full,0,0894,-16.264998483143877,21.55501365661621,0.42656418681144714,0.4978013038635254,0.8099756836891174,0.0
A1_full,0,0895,-9.469026473192404,66.62825775146484,0.47649291157722473,0.7753178477287292,0.7565772533416748,0.0
A1_full,0,0896,-9.408140164180036,54.40047073364258,0.39607277512550354,0.7269532680511475,0.8218799233436584,0.0
A1_full,0,0897,-7.703371866403799,32.59397506713867,0.2738238275051117,0.33340826630592346,0.8302363753318787,0.0
A1_full,0,0898,-9.887496891553653,48.236690521240234,0.475185364484787,0.5599440932273865,0.875493586063385,0.0
A1_full,0,0899,-12.262481853899944,54.14728927612305,0.5114385485649109,0.7277639508247375,0.8809779286384583,0.0
A1_full,0,0900,-14.1481372691258,27.413326263427734,0.3823102116584778,0.3753499686717987,0.8192666172981262,0.0
